Move;Type;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese 2
Vital Throw;Fighting;Überwurf;Corps Perdu;Llave Vital;Vitaltiro;あてみなげ;받아던지기;借力摔;借力摔
Morning Sun;Normal;Morgengrauen;Aurore;Sol Matinal;Mattindoro;あさのひざし;아침햇살;晨光;晨光
Synthesis;Grass;Synthese;Synthèse;Síntesis;Sintesi;こうごうせい;광합성;光合作用;光合作用
Moonlight;Fairy;Mondschein;Rayon Lune;Luz Lunar;Lucelunare;つきのひかり;달빛;月光;月光
Hidden Power;Normal;Kraftreserve;Puissance Cachée;Poder Oculto;Introforza;めざめるパワー;잠재파워;觉醒力量;覺醒力量
Cross Chop;Fighting;Kreuzhieb;Coup Croix;Tajo Cruzado;Incrocolpo;クロスチョップ;크로스촙;十字劈;十字劈
Twister;Dragon;Windhose;Ouragan;Ciclón;Tornado;たつまき;회오리;龙卷风;龍捲風
Rain Dance;Water;Regentanz;Danse Pluie;Danza Lluvia;Pioggiadanza;あまごい;비바라기;求雨;求雨
Sunny Day;Fire;Sonnentag;Zénith;Día Soleado;Giornodisole;にほんばれ;쾌청;大晴天;大晴天
Crunch;Dark;Knirscher;Mâchouille;Triturar;Sgranocchio;かみくだく;깨물어부수기;咬碎;咬碎
Mirror Coat;Psychic;Spiegelcape;Voile Miroir;Manto Espejo;Specchiovelo;ミラーコート;미러코트;镜面反射;鏡面反射
Psych Up;Normal;Psycho-Plus;Boost;Autosugestión;Psicamisù;じこあんじ;자기암시;自我暗示;自我暗示
Extreme Speed;Normal;Turbotempo;Vitesse Extrême;Veloc. Extrema;Extrarapido;しんそく;신속;神速;神速
Ancient Power;Rock;Antik-Kraft;Pouvoir Antique;Poder Pasado;Forzantica;げんしのちから;원시의힘;原始之力;原始之力
Shadow Ball;Ghost;Spukball;Ball'Ombre;Bola Sombra;Palla Ombra;シャドーボール;섀도볼;暗影球;暗影球
Future Sight;Psychic;Seher;Prescience;Premonición;Divinazione;みらいよち;미래예지;预知未来;預知未來
Rock Smash;Fighting;Zertrümmerer;Éclate-Roc;Golpe Roca;Spaccaroccia;いわくだき;바위깨기;碎岩;碎岩
Whirlpool;Water;Whirlpool;Siphon;Torbellino;Mulinello;うずしお;바다회오리;潮旋;潮旋
Beat Up;Dark;Prügler;Baston;Paliza;Picchiaduro;ふくろだたき;집단구타;围攻;圍攻
Fake Out;Normal;Mogelhieb;Bluff;Sorpresa;Bruciapelo;ねこだまし;속이기;击掌奇袭;擊掌奇襲
Uproar;Normal;Aufruhr;Brouhaha;Alboroto;Baraonda;さわぐ;소란피기;吵闹;吵鬧
Stockpile;Normal;Horter;Stockage;Reserva;Accumulo;たくわえる;비축하기;蓄力;蓄力
Spit Up;Normal;Entfessler;Relâche;Escupir;Sfoghenergia;はきだす;토해내기;喷出;噴出
Swallow;Normal;Verzehrer;Avale;Tragar;Introenergia;のみこむ;꿀꺽;吞下;吞下
Heat Wave;Fire;Hitzewelle;Canicule;Onda Ígnea;Ondacalda;ねっぷう;열풍;热风;熱風
Hail;Ice;Hagelsturm;Grêle;Granizo;Grandine;あられ;싸라기눈;冰雹;冰雹
Torment;Dark;Folterknecht;Tourmente;Tormento;Attaccalite;いちゃもん;트집;无理取闹;無理取鬧
Flatter;Dark;Schmeichler;Flatterie;Camelo;Adulazione;おだてる;부추기기;吹捧;吹捧
Will-O-Wisp;Fire;Irrlicht;Feu Follet;Fuego Fatuo;Fuocofatuo;おにび;도깨비불;磷火;鬼火
Memento;Dark;Memento-Mori;Souvenir;Legado;Memento;おきみやげ;추억의선물;临别礼物;臨別禮物
Facade;Normal;Fassade;Façade;Imagen;Facciata;からげんき;객기;硬撑;硬撐
Focus Punch;Fighting;Power-Punch;Mitra-Poing;Puño Certero;Centripugno;きあいパンチ;힘껏펀치;真气拳;真氣拳
Smelling Salts;Normal;Riechsalz;Stimulant;Estímulo;Maniereforti;きつけ;정신차리기;清醒;清醒
Follow Me;Normal;Spotlight;Par Ici;Señuelo;Sonoqui;このゆびとまれ;날따름;看我嘛;看我嘛
Nature Power;Normal;Natur-Kraft;Force Nature;Adaptación;Naturforza;しぜんのちから;자연의힘;自然之力;自然之力
Charge;Electric;Ladevorgang;Chargeur;Carga;Sottocarica;じゅうでん;충전;充电;充電
Taunt;Dark;Verhöhner;Provoc;Mofa;Provocazione;ちょうはつ;도발;挑衅;挑釁
Helping Hand;Normal;Rechte Hand;Coup d'Main;Refuerzo;Altruismo;てだすけ;도우미;帮助;幫助
Trick;Psychic;Trickbetrug;Tour de Magie;Truco;Raggiro;トリック;트릭;戏法;戲法
Role Play;Psychic;Rollenspiel;Imitation;Imitación;Giocodiruolo;なりきり;역할;扮演;扮演
Wish;Normal;Wunschtraum;Vœu;Deseo;Desiderio;ねがいごと;희망사항;祈愿;祈願
Assist;Normal;Zuschuss;Assistance;Ayuda;Assistente;ねこのて;조수;借助;借助
Ingrain;Grass;Verwurzler;Racines;Arraigo;Radicamento;ねをはる;뿌리박기;扎根;扎根
Superpower;Fighting;Kraftkoloss;Surpuissance;Fuerza Bruta;Troppoforte;ばかぢから;엄청난힘;蛮力;蠻力
Magic Coat;Psychic;Magiemantel;Reflet Magik;Capa Mágica;Magivelo;マジックコート;매직코트;魔法反射;魔法反射
Recycle;Normal;Aufbereitung;Recyclage;Reciclaje;Riciclo;リサイクル;리사이클;回收利用;回收利用
Revenge;Fighting;Vergeltung;Vendetta;Desquite;Vendetta;リベンジ;리벤지;报复;報復
Brick Break;Fighting;Durchbruch;Casse-Brique;Demolición;Breccia;かわらわり;깨트리기;劈瓦;劈瓦
Yawn;Normal;Gähner;Bâillement;Bostezo;Sbadiglio;あくび;하품;哈欠;哈欠
Knock Off;Dark;Abschlag;Sabotage;Desarme;Privazione;はたきおとす;탁쳐서떨구기;拍落;拍落
Endeavor;Normal;Notsituation;Effort;Esfuerzo;Rimonta;がむしゃら;죽기살기;蛮干;蠻幹
Eruption;Fire;Eruption;Éruption;Estallido;Eruzione;ふんか;분화;喷火;噴火
Skill Swap;Psychic;Fähigkeitstausch;Échange;Intercambio;Baratto;スキルスワップ;스킬스왑;特性互换;特性互換
Imprison;Psychic;Begrenzer;Possessif;Sellar;Esclusiva;ふういん;봉인;封印;封印
Refresh;Normal;Heilung;Régénération;Alivio;Rinfrescata;リフレッシュ;리프레시;焕然一新;煥然一新
Grudge;Ghost;Nachspiel;Rancune;Rabia;Rancore;おんねん;원념;怨念;怨念
Snatch;Dark;Übernahme;Saisie;Robo;Scippo;よこどり;가로채기;化为己用;搶奪
Secret Power;Normal;Geheimpower;Force Cachée;Daño Secreto;Forzasegreta;ひみつのちから;비밀의힘;秘密之力;秘密之力
Dive;Water;Taucher;Plongée;Buceo;Sub;ダイビング;다이빙;潜水;潛水
Arm Thrust;Fighting;Armstoß;Cogne;Empujón;Sberletese;つっぱり;손바닥치기;猛推;猛推
Camouflage;Normal;Tarnung;Camouflage;Camuflaje;Camuffamento;ほごしょく;보호색;保护色;保護色
Tail Glow;Bug;Schweifglanz;Lumi-Queue;Luminicola;Codadiluce;ほたるび;반딧불;萤火;螢火
Luster Purge;Psychic;Scheinwerfer;Lumi-Éclat;Resplandor;Abbagliante;ラスターパージ;러스터퍼지;洁净光芒;潔淨光芒
Mist Ball;Psychic;Nebelball;Ball'Brume;Bola Neblina;Foschisfera;ミストボール;미스트볼;薄雾球;薄霧球
Feather Dance;Flying;Daunenreigen;Danse Plumes;Danza Pluma;Danzadipiume;フェザーダンス;깃털댄스;羽毛舞;羽毛舞
Teeter Dance;Normal;Taumeltanz;Danse Folle;Danza Caos;Strampadanza;フラフラダンス;흔들흔들댄스;摇晃舞;搖晃舞
Blaze Kick;Fire;Feuerfeger;Pied Brûleur;Patada Ígnea;Calciardente;ブレイズキック;블레이즈킥;火焰踢;火焰踢
Mud Sport;Ground;Lehmsuhler;Lance-Boue;Chapoteo Lodo;Fangata;どろあそび;흙놀이;玩泥巴;玩泥巴
Ice Ball;Ice;Frostbeule;Ball'Glace;Bola Hielo;Palla Gelo;アイスボール;아이스볼;冰球;冰球
Needle Arm;Grass;Nietenranke;Poing Dard;Brazo Pincho;Pugnospine;ニードルアーム;바늘팔;尖刺臂;尖刺臂
Slack Off;Normal;Tagedieb;Paresse;Relajo;Pigro;なまける;게으름피우기;偷懒;偷懶
Hyper Voice;Normal;Schallwelle;Mégaphone;Vozarrón;Granvoce;ハイパーボイス;하이퍼보이스;巨声;巨聲
Poison Fang;Poison;Giftzahn;Crochet Venin;Colmillo Veneno;Velenodenti;どくどくのキバ;맹독엄니;剧毒牙;劇毒牙
Crush Claw;Normal;Zermalmklaue;Éclate Griffe;Garra Brutal;Tritartigli;ブレイククロー;브레이크클로;撕裂爪;撕裂爪
Blast Burn;Fire;Lohekanonade;Rafale Feu;Anillo Ígneo;Incendio;ブラストバーン;블라스트번;爆炸烈焰;爆炸烈焰
Hydro Cannon;Water;Aquahaubitze;Hydroblast;Hidrocañón;Idrocannone;ハイドロカノン;하이드로캐논;加农水炮;加農水炮
Meteor Mash;Steel;Sternenhieb;Poing Météore;Puño Meteoro;Meteorpugno;コメットパンチ;코멧펀치;彗星拳;彗星拳
Astonish;Ghost;Erstauner;Étonnement;Impresionar;Sgomento;おどろかす;놀래키기;惊吓;驚嚇
Weather Ball;Normal;Meteorologe;Ball'Météo;Meteorobola;Palla Clima;ウェザーボール;웨더볼;气象球;氣象球
Aromatherapy;Grass;Aromakur;Aromathérapie;Aromaterapia;Aromaterapia;アロマセラピー;아로마테라피;芳香治疗;芳香治療
Fake Tears;Dark;Trugträne;Croco Larme;Llanto Falso;Falselacrime;うそなき;거짓울음;假哭;假哭
Air Cutter;Flying;Windschnitt;Tranch'Air;Aire Afilado;Aerasoio;エアカッター;에어커터;空气利刃;空氣利刃
Overheat;Fire;Hitzekoller;Surchauffe;Sofoco;Vampata;オーバーヒート;오버히트;过热;過熱
Odor Sleuth;Normal;Schnüffler;Flair;Rastreo;Segugio;かぎわける;냄새구별;气味侦测;氣味偵測
Rock Tomb;Rock;Felsgrab;Tomberoche;Tumba Rocas;Rocciotomba;がんせきふうじ;암석봉인;岩石封锁;岩石封鎖
Silver Wind;Bug;Silberhauch;Vent Argenté;Viento Plata;Ventargenteo;ぎんいろのかぜ;은빛바람;银色旋风;銀色旋風
Metal Sound;Steel;Metallsound;Strido-Son;Eco Metálico;Ferrostrido;きんぞくおん;금속음;金属音;金屬音
Grass Whistle;Grass;Grasflöte;Siffl'Herbe;Silbato;Meloderba;くさぶえ;풀피리;草笛;草笛
Tickle;Normal;Spaßkanone;Chatouille;Cosquillas;Solletico;くすぐる;간지르기;挠痒;搔癢
Cosmic Power;Psychic;Kosmik-Kraft;Force Cosmique;Masa Cósmica;Cosmoforza;コスモパワー;코스믹파워;宇宙力量;宇宙力量
Water Spout;Water;Fontränen;Giclédo;Salpicar;Zampillo;しおふき;해수스파우팅;喷水;噴水
Signal Beam;Bug;Ampelleuchte;Rayon Signal;Rayo Señal;Segnoraggio;シグナルビーム;시그널빔;信号光束;信號光束
Shadow Punch;Ghost;Finsterfaust;Poing Ombre;Puño Sombra;Pugnodombra;シャドーパンチ;섀도펀치;暗影拳;暗影拳
Extrasensory;Psychic;Sondersensor;Extrasenseur;Paranormal;Extrasenso;じんつうりき;신통력;神通力;神通力
Sky Uppercut;Fighting;Himmelhieb;Stratopercut;Gancho Alto;Stramontante;スカイアッパー;스카이어퍼;冲天拳;衝天拳
Sand Tomb;Ground;Sandgrab;Tourbi-Sable;Bucle Arena;Sabbiotomba;すなじごく;모래지옥;流沙深渊;流沙地獄
Sheer Cold;Ice;Eiseskälte;Glaciation;Frío Polar;Purogelo;ぜったいれいど;절대영도;绝对零度;絕對零度
Muddy Water;Water;Lehmbrühe;Ocroupi;Agua Lodosa;Fanghiglia;だくりゅう;탁류;浊流;濁流
Bullet Seed;Grass;Kugelsaat;Balle Graine;Semilladora;Semitraglia;タネマシンガン;씨기관총;种子机关枪;種子機關槍
Aerial Ace;Flying;Aero-Ass;Aéropique;Golpe Aéreo;Aeroassalto;つばめがえし;제비반환;燕返;燕返
Icicle Spear;Ice;Eisspeer;Stalactite;Carámbano;Gelolancia;つららばり;고드름침;冰锥;冰錐
Iron Defense;Steel;Eisenabwehr;Mur de Fer;Defensa Férrea;Ferroscudo;てっぺき;철벽;铁壁;鐵壁
Block;Normal;Rückentzug;Barrage;Bloqueo;Blocco;とおせんぼう;블록;挡路;擋路
Howl;Normal;Jauler;Grondement;Aullido;Gridodilotta;とおぼえ;멀리짖기;长嚎;長嚎
Dragon Claw;Dragon;Drachenklaue;Draco-Griffe;Garra Dragón;Dragartigli;ドラゴンクロー;드래곤클로;龙爪;龍爪
Frenzy Plant;Grass;Flora-Statue;Végé-Attaque;Planta Feroz;Radicalbero;ハードプラント;하드플랜트;疯狂植物;瘋狂植物
Bulk Up;Fighting;Protzer;Gonflette;Corpulencia;Granfisico;ビルドアップ;벌크업;健美;健美
Bounce;Flying;Sprungfeder;Rebond;Bote;Rimbalzo;とびはねる;뛰어오르기;弹跳;彈跳
Mud Shot;Ground;Lehmschuss;Tir de Boue;Disparo Lodo;Colpodifango;マッドショット;머드샷;泥巴射击;泥巴射擊
Poison Tail;Poison;Giftschweif;Queue-Poison;Cola Veneno;Velenocoda;ポイズンテール;포이즌테일;毒尾;毒尾
Covet;Normal;Bezirzer;Implore;Antojo;Supplica;ほしがる;탐내기;渴望;渴望
Volt Tackle;Electric;Volttackle;Électacle;Placaje Eléc;Locomovolt;ボルテッカー;볼트태클;伏特攻击;伏特攻擊
Magical Leaf;Grass;Zauberblatt;Feuille Magik;Hoja Mágica;Fogliamagica;マジカルリーフ;매지컬리프;魔法叶;魔法葉
Water Sport;Water;Nassmacher;Tourniquet;Hidrochorro;Docciascudo;みずあそび;물놀이;玩水;玩水
Calm Mind;Psychic;Gedankengut;Plénitude;Paz Mental;Calmamente;めいそう;명상;冥想;冥想
Leaf Blade;Grass;Laubklinge;Lame Feuille;Hoja Aguda;Fendifoglia;リーフブレード;리프블레이드;叶刃;葉刃
Dragon Dance;Dragon;Drachentanz;Danse Draco;Danza Dragón;Dragodanza;りゅうのまい;용의춤;龙之舞;龍之舞
Rock Blast;Rock;Felswurf;Boule Roc;Pedrada;Cadutamassi;ロックブラスト;록블라스트;岩石爆击;岩石爆擊
Shock Wave;Electric;Schockwelle;Onde de Choc;Onda Voltio;Ondashock;でんげきは;전격파;电击波;電擊波
Water Pulse;Water;Aquawelle;Vibraqua;Hidropulso;Idropulsar;みずのはどう;물의파동;水之波动;水之波動
Doom Desire;Steel;Kismetwunsch;Vœu Destructeur;Deseo Oculto;Desiderio Fatale;はめつのねがい;파멸의소원;破灭之愿;破滅之願
Psycho Boost;Psychic;Psyschub;Psycho-Boost;Psicoataque;Psicoslancio;サイコブースト;사이코부스트;精神突进;精神突進
Roost;Flying;Ruheort;Atterrissage;Respiro;Trespolo;はねやすめ;날개쉬기;羽栖;羽棲
Gravity;Psychic;Erdanziehung;Gravité;Gravedad;Gravità;じゅうりょく;중력;重力;重力
Miracle Eye;Psychic;Wunderauge;Œil Miracle;Gran Ojo;Miracolvista;ミラクルアイ;미라클아이;奇迹之眼;奇跡之眼
Wake-Up Slap;Fighting;Weckruf;Réveil Forcé;Espabila;Svegliopacca;めざましビンタ;잠깨움뺨치기;唤醒巴掌;喚醒巴掌
Hammer Arm;Fighting;Hammerarm;Marto-Poing;Machada;Martelpugno;アームハンマー;암해머;臂锤;臂錘
Gyro Ball;Steel;Gyroball;Gyroballe;Giro Bola;Vortexpalla;ジャイロボール;자이로볼;陀螺球;陀螺球
Healing Wish;Psychic;Heilopfer;Vœu Soin;Deseo Cura;Curardore;いやしのねがい;치유소원;治愈之愿;治癒之願
Brine;Water;Lake;Saumure;Salmuera;Acquadisale;しおみず;소금물;盐水;鹽水
Natural Gift;Normal;Beerenkräfte;Don Naturel;Don Natural;Dononaturale;しぜんのめぐみ;자연의은혜;自然之恩;自然之恩
Feint;Normal;Offenlegung;Ruse;Amago;Fintoattacco;フェイント;페인트;佯攻;佯攻
Pluck;Flying;Pflücker;Picore;Picoteo;Spennata;ついばむ;쪼아대기;啄食;啄食
Tailwind;Flying;Rückenwind;Vent Arrière;Viento Afín;Ventoincoda;おいかぜ;순풍;顺风;順風
Acupressure;Normal;Akupressur;Acupression;Acupresión;Acupressione;つぼをつく;경혈찌르기;点穴;點穴
Metal Burst;Steel;Metallstoß;Fulmifer;Represión Metal;Metalscoppio;メタルバースト;메탈버스트;金属爆炸;金屬爆炸
U-turn;Bug;Kehrtwende;Demi-Tour;Ida y Vuelta;Retromarcia;とんぼがえり;유턴;急速折返;急速折返
Close Combat;Fighting;Nahkampf;Close Combat;A Bocajarro;Zuffa;インファイト;인파이트;近身战;近身戰
Payback;Dark;Gegenstoß;Représailles;Vendetta;Rivincita;しっぺがえし;보복;以牙还牙;以牙還牙
Assurance;Dark;Gewissheit;Assurance;Buena Baza;Garanzia;ダメおし;승부굳히기;恶意追击;惡意追擊
Embargo;Dark;Itemsperre;Embargo;Embargo;Divieto;さしおさえ;금제;查封;查封
Fling;Dark;Schleuder;Dégommage;Lanzamiento;Lancio;なげつける;내던지기;投掷;投擲
Psycho Shift;Psychic;Psybann;Échange Psy;Psicocambio;Psicotransfer;サイコシフト;사이코시프트;精神转移;精神轉移
Trump Card;Normal;Trumpfkarte;Atout;As Oculto;Asso;きりふだ;마지막수단;王牌;王牌
Heal Block;Psychic;Heilblockade;Anti-Soin;Anticura;Anticura;かいふくふうじ;회복봉인;回复封锁;回復封鎖
Wring Out;Normal;Auswringen;Essorage;Estrujón;Strizzata;しぼりとる;쥐어짜기;绞紧;絞緊
Power Trick;Psychic;Krafttrick;Astuce Force;Truco Fuerza;Ingannoforza;パワートリック;파워트릭;力量戏法;力量戲法
Gastro Acid;Poison;Magensäfte;Suc Digestif;Bilis;Gastroacido;いえき;위액;胃液;胃液
Lucky Chant;Normal;Beschwörung;Air Veinard;Conjuro;Fortuncanto;おまじない;주술;幸运咒语;幸運咒語
Me First;Normal;Egotrip;Moi d'Abord;Yo Primero;Precedenza;さきどり;선취;抢先一步;搶先一步
Copycat;Normal;Imitator;Photocopie;Copión;Copione;まねっこ;흉내쟁이;仿效;仿效
Power Swap;Psychic;Krafttausch;Permuforce;Cambiafuerza;Barattoforza;パワースワップ;파워스왑;力量互换;力量互換
Guard Swap;Psychic;Schutztausch;Permugarde;Cambiadefensa;Barattoscudo;ガードスワップ;가드스왑;防守互换;防守互換
Punishment;Dark;Strafattacke;Punition;Castigo;Punizione;おしおき;혼내기;惩罚;懲罰
Last Resort;Normal;Zuflucht;Dernier Recours;Última Baza;Ultimascelta;とっておき;비장의무기;珍藏;珍藏
Worry Seed;Grass;Sorgensamen;Soucigraine;Abatidoras;Affannoseme;なやみのタネ;고민씨;烦恼种子;煩惱種子
Sucker Punch;Dark;Tiefschlag;Coup Bas;Golpe Bajo;Sbigoattacco;ふいうち;기습;突袭;突襲
Toxic Spikes;Poison;Giftspitzen;Pics Toxik;Púas Tóxicas;Fielepunte;どくびし;독압정;毒菱;毒菱
Heart Swap;Psychic;Statustausch;Permucœur;Cambiaalmas;Cuorbaratto;ハートスワップ;하트스왑;心灵互换;心靈互換
Aqua Ring;Water;Wasserring;Anneau Hydro;Acua Aro;Acquanello;アクアリング;아쿠아링;水流环;水流環
Magnet Rise;Electric;Magnetflug;Vol Magnétik;Levitón;Magnetascesa;でんじふゆう;전자부유;电磁飘浮;電磁飄浮
Flare Blitz;Fire;Flammenblitz;Boutefeu;Envite Ígneo;Fuococarica;フレアドライブ;플레어드라이브;闪焰冲锋;閃焰衝鋒
Force Palm;Fighting;Kraftwelle;Forte-Paume;Palmeo;Palmoforza;はっけい;발경;发劲;發勁
Aura Sphere;Fighting;Aurasphäre;Aurasphère;Esfera Aural;Sferapulsar;はどうだん;파동탄;波导弹;波導彈
Rock Polish;Rock;Steinpolitur;Poliroche;Pulimento;Lucidatura;ロックカット;록커트;岩石打磨;岩石打磨
Poison Jab;Poison;Gifthieb;Direct Toxik;Puya Nociva;Velenpuntura;どくづき;독찌르기;毒击;毒擊
Dark Pulse;Dark;Finsteraura;Vibrobscur;Pulso Umbrío;Neropulsar;あくのはどう;악의파동;恶之波动;惡之波動
Night Slash;Dark;Nachthieb;Tranche-Nuit;Tajo Umbrío;Nottesferza;つじぎり;깜짝베기;暗袭要害;暗襲要害
Aqua Tail;Water;Nassschweif;Hydro-Queue;Acua Cola;Idrondata;アクアテール;아쿠아테일;水流尾;水流尾
Seed Bomb;Grass;Samenbomben;Canon Graine;Bomba Germen;Semebomba;タネばくだん;씨폭탄;种子炸弹;種子炸彈
Air Slash;Flying;Luftschnitt;Lame d'Air;Tajo Aéreo;Eterelama;エアスラッシュ;에어슬래시;空气之刃;空氣斬
X-Scissor;Bug;Kreuzschere;Plaie Croix;Tijera X;Forbice X;シザークロス;시저크로스;十字剪;十字剪
Bug Buzz;Bug;Käfergebrumm;Bourdon;Zumbido;Ronzio;むしのさざめき;벌레의야단법석;虫鸣;蟲鳴
Dragon Pulse;Dragon;Drachenpuls;Draco-Choc;Pulso Dragón;Dragopulsar;りゅうのはどう;용의파동;龙之波动;龍之波動
Dragon Rush;Dragon;Drachenstoß;Draco-Charge;Carga Dragón;Dragofuria;ドラゴンダイブ;드래곤다이브;龙之俯冲;龍之俯衝
Power Gem;Rock;Juwelenkraft;Rayon Gemme;Joya de Luz;Gemmoforza;パワージェム;파워젬;力量宝石;力量寶石
Drain Punch;Fighting;Ableithieb;Vampi-Poing;Puño Drenaje;Assorbipugno;ドレインパンチ;드레인펀치;吸取拳;吸取拳
Vacuum Wave;Fighting;Vakuumwelle;Onde Vide;Onda Vacío;Vuotonda;しんくうは;진공파;真空波;真空波
Focus Blast;Fighting;Fokusstoß;Exploforce;Onda Certera;Focalcolpo;きあいだま;기합구슬;真气弹;真氣彈
Energy Ball;Grass;Energieball;Éco-Sphère;Energibola;Energipalla;エナジーボール;에너지볼;能量球;能量球
Brave Bird;Flying;Sturzflug;Rapace;Pájaro Osado;Baldeali;ブレイブバード;브레이브버드;勇鸟猛攻;勇鳥猛攻
Earth Power;Ground;Erdkräfte;Telluriforce;Tierra Viva;Geoforza;だいちのちから;대지의힘;大地之力;大地之力
Switcheroo;Dark;Wechseldich;Passe-Passe;Trapicheo;Rapidscambio;すりかえ;바꿔치기;掉包;掉包
Giga Impact;Normal;Gigastoß;Giga Impact;Gigaimpacto;Gigaimpatto;ギガインパクト;기가임팩트;终极冲击;終極衝擊
Nasty Plot;Dark;Ränkeschmied;Machination;Maquinación;Congiura;わるだくみ;나쁜음모;诡计;詭計
Bullet Punch;Steel;Patronenhieb;Pisto-Poing;Puño Bala;Pugnoscarica;バレットパンチ;불릿펀치;子弹拳;子彈拳
Avalanche;Ice;Lawine;Avalanche;Alud;Slavina;ゆきなだれ;눈사태;雪崩;雪崩
Ice Shard;Ice;Eissplitter;Éclats Glace;Esquirla Helada;Geloscheggia;こおりのつぶて;얼음뭉치;冰砾;冰礫
Shadow Claw;Ghost;Dunkelklaue;Griffe Ombre;Garra Umbría;Ombrartigli;シャドークロー;섀도클로;暗影爪;暗影爪
Thunder Fang;Electric;Donnerzahn;Crocs Éclair;Colmillo Rayo;Fulmindenti;かみなりのキバ;번개엄니;雷电牙;雷電牙
Ice Fang;Ice;Eiszahn;Crocs Givre;Colmillo Hielo;Gelodenti;こおりのキバ;얼음엄니;冰冻牙;冰凍牙
Fire Fang;Fire;Feuerzahn;Crocs Feu;Colmillo Ígneo;Rogodenti;ほのおのキバ;불꽃엄니;火焰牙;火焰牙
Shadow Sneak;Ghost;Schattenstoß;Ombre Portée;Sombra Vil;Furtivombra;かげうち;야습;影子偷袭;影子偷襲
Mud Bomb;Ground;Schlammbombe;Boue-Bombe;Bomba Fango;Pantanobomba;どろばくだん;진흙폭탄;泥巴炸弹;泥巴炸彈
Psycho Cut;Psychic;Psychoklinge;Coupe Psycho;Psicocorte;Psicotaglio;サイコカッター;사이코커터;精神利刃;精神利刃
Zen Headbutt;Psychic;Zen-Kopfstoß;Psykoud'Boul;Cabezazo Zen;Cozzata Zen;しねんのずつき;사념의박치기;意念头锤;意念頭錘
Mirror Shot;Steel;Spiegelsalve;Miroi-Tir;Disparo Espejo;Cristalcolpo;ミラーショット;미러샷;镜光射击;鏡光射擊
Flash Cannon;Steel;Lichtkanone;Luminocanon;Foco Resplandor;Cannonflash;ラスターカノン;러스터캐논;加农光炮;加農光炮
Rock Climb;Normal;Kraxler;Escalade;Treparrocas;Scalaroccia;ロッククライム;록클라임;攀岩;攀岩
Defog;Flying;Auflockern;Anti-Brume;Despejar;Scacciabruma;きりばらい;안개제거;清除浓雾;清除濃霧
Trick Room;Psychic;Bizarroraum;Distorsion;Espacio Raro;Distortozona;トリックルーム;트릭룸;戏法空间;戲法空間
Draco Meteor;Dragon;Draco Meteor;Draco-Météore;Cometa Draco;Dragobolide;りゅうせいぐん;용성군;流星群;流星群
Discharge;Electric;Ladungsstoß;Coup d'Jus;Chispazo;Scarica;ほうでん;방전;放电;放電
Lava Plume;Fire;Flammensturm;Ébullilave;Humareda;Lavasbuffo;ふんえん;분연;喷烟;噴煙
Leaf Storm;Grass;Blättersturm;Tempête Verte;Lluevehojas;Verdebufera;リーフストーム;리프스톰;飞叶风暴;飛葉風暴
Power Whip;Grass;Blattgeißel;Mégafouet;Latigazo;Vigorcolpo;パワーウィップ;파워휩;强力鞭打;強力鞭打
Rock Wrecker;Rock;Felswerfer;Roc-Boulet;Romperrocas;Devastomasso;がんせきほう;암석포;岩石炮;岩石炮
Cross Poison;Poison;Giftstreich;Poison Croix;Veneno X;Velenocroce;クロスポイズン;크로스포이즌;十字毒刃;十字毒刃
Gunk Shot;Poison;Mülltreffer;Détricanon;Lanzamugre;Sporcolancio;ダストシュート;더스트슈트;垃圾射击;垃圾射擊
Iron Head;Steel;Eisenschädel;Tête de Fer;Cabeza de Hierro;Metaltestata;アイアンヘッド;아이언헤드;铁头;鐵頭
Magnet Bomb;Steel;Magnetbombe;Bombe Aimant;Bomba Imán;Bombagnete;マグネットボム;마그넷봄;磁铁炸弹;磁鐵炸彈
Stone Edge;Rock;Steinkante;Lame de Roc;Roca Afilada;Pietrataglio;ストーンエッジ;스톤에지;尖石攻击;尖石攻擊
Captivate;Normal;Liebreiz;Séduction;Seducción;Incanto;ゆうわく;유혹;诱惑;誘惑
Stealth Rock;Rock;Tarnsteine;Piège de Roc;Trampa Rocas;Levitoroccia;ステルスロック;스텔스록;隐形岩;隱形岩
Grass Knot;Grass;Strauchler;Nœud Herbe;Hierba Lazo;Laccioerboso;くさむすび;풀묶기;打草结;打草結
Chatter;Flying;Geschwätz;Babil;Cháchara;Schiamazzo;おしゃべり;수다;喋喋不休;喋喋不休
Judgment;Normal;Urteilskraft;Jugement;Sentencia;Giudizio;さばきのつぶて;심판의뭉치;制裁光砾;制裁光礫
Bug Bite;Bug;Käferbiss;Piqûre;Picadura;Coleomorso;むしくい;벌레먹기;虫咬;蟲咬
Charge Beam;Electric;Ladestrahl;Rayon Chargé;Rayo Carga;Raggioscossa;チャージビーム;차지빔;充电光束;充電光束
Wood Hammer;Grass;Holzhammer;Martobois;Mazazo;Mazzuolegno;ウッドハンマー;우드해머;木槌;木槌
Aqua Jet;Water;Wasserdüse;Aqua-Jet;Acua Jet;Acquagetto;アクアジェット;아쿠아제트;水流喷射;水流噴射
Attack Order;Bug;Schlagbefehl;Appel Attaque;Al Ataque;Comandourto;こうげきしれい;공격지령;攻击指令;攻擊指令
Defend Order;Bug;Blockbefehl;Appel Défense;A Defender;Comandoscudo;ぼうぎょしれい;방어지령;防御指令;防禦指令
