English;German;French;Spanish;Italian;Japanese;Korean;Chinese 1;Chinese 2
Gulp Missile;Würggeschoss;Dégobage;Tragamisil;Inghiottimissile;うのミサイル;그대로꿀꺽미사일;一口飛彈;一口导弹
Stalwart;Stahlrückgrat;Nerfs d’Acier;Acérrimo;Volontà di Ferro;すじがねいり;굳건한신념;堅毅;坚毅
Steam Engine;Dampfantrieb;Turbine;Combustible;Vapormacchina;じょうききかん;증기기관;蒸汽機;蒸汽机
Punk Rock;Punk Rock;Punk Rock;Punk Rock;Punk Rock;パンクロック;펑크록;龐克搖滾;庞克摇滚
Sand Spit;Sandspeier;Expul’Sable;Expulsarena;Sputasabbia;すなはき;모래뿜기;吐沙;吐沙
Ice Scales;Eisflügelstaub;Écailles Glacées;Escama de Hielo;Geloscaglie;こおりのりんぷん;얼음인분;冰鱗粉;冰鳞粉
Ripen;Heranreifen;Mûrissement;Maduración;Maturazione;じゅくせい;숙성;熟成;熟成
Ice Face;Tiefkühlkopf;Tête de Gel;Cara de Hielo;Gelofaccia;アイスフェイス;아이스페이스;結凍頭;结冻头
Power Spot;Kraftquelle;Cercle d’Énergie;Fuente Energía;Fonte Energetica;パワースポット;파워스폿;能量點;能量点
Mimicry;Mimese;Mimétisme;Mimetismo;Mimetismo;ぎたい;의태;擬態;拟态
Screen Cleaner;Hemmungslos;Brise-Barrière;Antibarrera;Annullabarriere;バリアフリー;배리어프리;除障;除障
Steely Spirit;Stählerner Wille;Boost Acier;Alma Acerada;Spiritoferreo;はがねのせいしん;강철정신;鋼之意志;钢之意志
Perish Body;Unheilskörper;Corps Condamné;Cuerpo Mortal;Ultimotocco;ほろびのボディ;멸망의바디;滅亡之軀;灭亡之躯
Wandering Spirit;Rastlose Seele;Âme Vagabonde;Alma Errante;Anima Errante;さまようたましい;떠도는영혼;遊魂;游魂
Gorilla Tactics;Affenfokus;Entêtement;Monotema;Vigorilla;ごりむちゅう;무아지경;一猩一意;一猩一意
Neutralizing Gas;Reaktionsgas;Gaz Inhibiteur;Gas Reactivo;Gas Reagente;かがくへんかガス;화학변화가스;化學變化氣體;化学变化气体
Pastel Veil;Pastellhülle;Voile Pastel;Velo Pastel;Pastelvelo;パステルベール;파스텔베일;粉彩護幕;粉彩护幕
Hunger Switch;Heißhunger;Déclic Fringale;Mutapetito;Pancialterna;はらぺこスイッチ;꼬르륵스위치;飽了又餓;饱了又饿
Quick Draw;Schnellschuss;Tir Vif;Mano Rápida;Colpolesto;クイックドロウ;퀵드로;速擊;速击
Unseen Fist;Verborgene Faust;Poing Invisible;Puño Invisible;Pugni Invisibili;ふかしのこぶし;보이지않는주먹;無形拳;无形拳
Curious Medicine;Kuriose Arznei;Breuvage Suspect;Medicina Extraña;Stranofarmaco;きみょうなくすり;기묘한약;怪藥;怪药
Transistor;Transistor;Transistor;Transistor;Transistor;トランジスタ;트랜지스터;電晶體;电晶体
Dragon's Maw;Drachenkiefer;Dent de Dragon;Mandíbula Dragón;Dragomascelle;りゅうのあぎと;용의턱;龍顎;龙颚
Chilling Neigh;Helles Wiehern;Blanche Ruade;Relincho Blanco;Nitrito Bianco;しろのいななき;백의울음;蒼白嘶鳴;苍白嘶鸣
Grim Neigh;Dunkles Wiehern;Sombre Ruade;Relincho Negro;Nitrito Nero;くろのいななき;흑의울음;漆黑嘶鳴;漆黑嘶鸣
267;As One;Reitgespann;Osmose Équine;Unidad Ecuestre;Sintonia Equina;じんばいったい;혼연일체;人馬一體;人马一体
Lingering Aroma;Duftschwade;Odeur Tenace;Olor Persistente;Odore Tenace;とれないにおい;가시지않는향기;甩不掉的氣味;甩不掉的气味
Seed Sower;Streusaat;Semencier;Disemillar;Spargisemi;こぼれダネ;넘치는씨;掉出種子;掉出种子
Thermal Exchange;Thermowandel;Thermodynamique;Termoconversión;Termoscambio;ねつこうかん;열교환;熱交換;热交换
Anger Shell;Wutpanzer;Courroupace;Coraza Ira;Iraguscio;いかりのこうら;분노의껍질;憤怒甲殼;愤怒甲壳
Purifying Salt;Läutersalz;Sel Purificateur;Sal Purificadora;Sale Purificante;きよめのしお;정화의소금;潔淨之鹽;洁净之盐
Well-Baked Body;Knusperkruste;Bien Cuit;Cuerpo Horneado;Bentostato;こんがりボディ;노릇노릇바디;焦香之軀;焦香之躯
Wind Rider;Windreiter;Aéroporté;Surcavientos;Vento Propizio;かぜのり;바람타기;乘風;乘风
Guard Dog;Wachhund;Chien de Garde;Perro Guardián;Cane da Guardia;ばんけん;파수견;看門犬;看门犬
Rocky Payload;Steinträger;Porte-Roche;Transportarrocas;Portamassi;いわはこび;바위나르기;搬岩;搬岩
Wind Power;Windkraft;Turbine Éolienne;Energía Eólica;Energia Eolica;ふうりょくでんき;풍력발전;風力發電;风力发电
Zero to Hero;Superwechsel;Supermutation;Cambio Heroico;Supercambio;マイティチェンジ;마이티체인지;全能變身;全能变身
Commander;Kommandant;Commandant;Comandar;Torre di Comando;しれいとう;사령탑;發號施令;发号施令
Electromorphosis;Dynamo;Grecharge;Dinamo;Convertivolt;でんきにかえる;전기로바꾸기;電力轉換;电力转换
Protosynthesis;Paläosynthese;Paléosynthèse;Paleosíntesis;Paleoattivazione;こだいかっせい;고대활성;古代活性;古代活性
Quark Drive;Quantenantrieb;Charge Quantique;Carga Cuark;Carica Quark;クォークチャージ;쿼크차지;夸克充能;夸克充能
Good as Gold;Goldkörper;Corps en Or;Cuerpo Áureo;Corpo Aureo;おうごんのからだ;황금몸;黃金之軀;黄金之躯
Vessel of Ruin;Unheilsgefäß;Urne du Fléau;Caldero Debacle;Vaso Nefasto;わざわいのうつわ;재앙의그릇;災禍之鼎;灾祸之鼎
Sword of Ruin;Unheilsschwert;Épée du Fléau;Espada Debacle;Spada Nefasta;わざわいのつるぎ;재앙의검;災禍之劍;灾祸之剑
Tablets of Ruin;Unheilstafeln;Bois du Fléau;Tablilla Debacle;Amuleto Nefasto;わざわいのおふだ;재앙의목간;災禍之簡;灾祸之简
Beads of Ruin;Unheilsjuwelen;Perles du Fléau;Abalorio Debacle;Monile Nefasto;わざわいのたま;재앙의구슬;災禍之玉;灾祸之玉
Orichalcum Pulse;Orichalkum-Puls;Pouls Orichalque;Latido Oricalco;Ritmo d’Oricalco;ひひいろのこどう;진홍빛고동;緋紅脈動;绯红脉动
Hadron Engine;Hadronen-Motor;Moteur à Hadrons;Motor Hadrónico;Motore Adronico;ハドロンエンジン;하드론엔진;強子引擎;强子引擎
Opportunist;Profiteur;Opportuniste;Oportunista;Scrocco;びんじょう;편승;跟風;跟风
Cud Chew;Wiederkäuer;Ruminant;Rumia;Ruminante;はんすう;되새김질;反芻;反刍
Sharpness;Scharfkantig;Incisif;Cortante;Affilama;きれあじ;예리함;鋒銳;锋锐
Supreme Overlord;Feldherr;Général Suprême;General Supremo;Generale Supremo;そうだいしょう;총대장;大將;大将
Costar;Synchronauftritt;Collab;Unísono;Coprotagonismo;きょうえん;협연;同台共演;同台共演
Toxic Debris;Giftbelag;Dépôt Toxique;Capa Tóxica;Mantossina;どくげしょう;독치장;毒滿地;毒满地
Armor Tail;Schweifrüstung;Armure Caudale;Cola Armadura;Codarmatura;テイルアーマー;테일아머;尾甲;尾甲
Earth Eater;Bodenschmaus;Absorbe-Terre;Geofagia;Mangiaterra;どしょく;흙먹기;食土;食土
Mycelium Might;Myzelienkraft;Force Fongique;Poder Fúngico;Micoforza;きんしのちから;균사의힘;菌絲之力;菌丝之力
Hospitality;Gastlichkeit;Aux Petits Soins;Hospitalidad;Ospitalità;おもてなし;대접;款待;款待
Mind's Eye;Geistiges Auge;Œil Révélateur;Ojo Mental;Occhio Interiore;しんがん;심안;心眼;心眼
302/303/304;Embody Aspect;Erinnerungskraft;Force Mémorielle;Evocarrecuerdos;Albergamemorie;おもかげやどし;초상투영;面影辉映;面影輝映
Toxic Chain;Giftkette;Chaîne Toxique;Cadena Tóxica;Catena Tossica;どくのくさり;독사슬;毒鎖鏈;毒锁链
Supersweet Syrup;Süßer Nektar;Nectar Mielleux;Néctar Dulce;Sciroppo Sublime;かんろなミツ;감미로운꿀;甘露之蜜;甘露之蜜
